Review has been approved successfully.,Review has been approved successfully.
Technical Error Occured - Not able to update.,Technical Error Occured - Not able to update.
Review has been disapproved successfully.,Review has been disapproved successfully.
Seller review has been deleted.,Seller review has been deleted.
Technical error occurred while processing category request.,Technical error occurred while processing category request.
Seller account has not been approved yet. Please approve the seller account first.,Seller account has not been approved yet. Please approve the seller account first.
 record(s) have been updated., record(s) have been updated.
Product has been approved successfully.,Product has been approved successfully.
 Seller(s) Approved Successfully, Seller(s) Approved Successfully
Approval updated successfully,Approval updated successfully
Seller Review Approval Request,Seller Review Approval Request
PayPal Payout settings has been saved successfully.,PayPal Payout settings has been saved successfully.
Category Wise Commissions,Category Wise Commissions
CRON Instructions,CRON Instructions
Seller List with Import/Export Feature,Seller List with Import/Export Feature
Product Reviews,Product Reviews
Seller Disapproved Successfully,Seller Disapproved Successfully
Category Request List,Category Request List
Commissions,Commissions
Total of %d record(s) have been deleted.,Total of %d record(s) have been deleted.
 Seller(s) Enabled Successfully, Seller(s) Enabled Successfully
Sellers Payout,Sellers Payout
"Some of the products are not enabled, because either these products or their sellers are not approved/disabled.","Some of the products are not enabled, because either these products or their sellers are not approved/disabled."
